filename,lat,lon,alt,x,y,z,w
img_00002.png,-3e-07,7.1e-07,-0.0,7e-08,-7.1e-07,0.50001693,-0.86601561
img_00003.png,-3.1e-07,8.3e-07,-0.0,1.8e-07,-3.1e-07,0.50001192,-0.86601853
img_00006.png,-3e-07,8.1e-07,-0.0,3e-07,-4e-08,0.50000656,-0.86602163
img_00008.png,-2.9e-07,8e-07,-0.0,1.3e-07,-5e-08,0.50000215,-0.86602414
img_00009.png,-2.4e-07,8.6e-07,-0.0,-2e-07,-9e-08,0.49999997,-0.86602545
img_00010.png,-2.2e-07,8.9e-07,-0.0,-3.1e-07,-2.9e-07,0.50000149,-0.86602455
img_00011.png,-2.5e-07,8.3e-07,-0.0,6e-08,-9e-08,0.49999997,-0.86602545
img_00013.png,-2.7e-07,9.7e-07,-0.0,3.1e-07,1e-07,0.49999478,-0.86602843
img_00014.png,-3e-07,1.01e-06,-0.0,-5e-07,-5.6e-07,0.50000846,-0.8660205
img_00015.png,-4.1e-07,1.03e-06,-0.0,-8.7e-07,-2e-08,0.50001472,-0.86601692
img_00016.png,-4.4e-07,1.13e-06,-0.0,1.5e-07,-2.3e-07,0.50001991,-0.86601388
img_00017.png,-4.2e-07,1.28e-06,-0.0,-3e-08,2.1e-07,0.50002211,-0.86601263
img_00018.png,-4.3e-07,1.26e-06,-0.0,-2.7e-07,-3.4e-07,0.50001633,-0.86601597
img_00019.png,-4.6e-07,1.28e-06,-0.0,-1.1e-07,4e-08,0.5000208,-0.86601341
img_00020.png,-4.7e-07,1.25e-06,-0.0,-9e-08,-2.4e-07,0.5000183,-0.86601484
img_00021.png,-5.1e-07,1.34e-06,-0.0,-3.3e-07,-1.5e-07,0.50002033,-0.86601365
img_00022.png,-4e-07,1.42e-06,-0.0,-2e-07,-4e-08,0.50001854,-0.86601472
img_00024.png,-3.9e-07,1.45e-06,-0.0,-2.7e-07,8e-08,0.50001335,-0.8660177
img_00025.png,-4e-07,1.39e-06,-0.0,4.4e-07,4.5e-07,0.50001508,-0.86601669
img_00026.png,-4.1e-07,1.45e-06,-0.0,8e-08,3.6e-07,0.50001585,-0.86601627
img_00027.png,-4.1e-07,1.42e-06,-0.0,-4.3e-07,4.8e-07,0.50001436,-0.8660171
img_00028.png,-3.8e-07,1.47e-06,-0.0,-1.26e-06,-4e-07,0.50002104,-0.86601323
img_00030.png,-3.3e-07,1.46e-06,-0.0,-3.7e-07,-3.6e-07,0.50001621,-0.86601603
img_00031.png,-3e-07,1.55e-06,-0.0,-1.28e-06,-9.7e-07,0.50002491,-0.86601102
img_00033.png,-2.8e-07,1.47e-06,-0.0,-2e-08,0.0,0.50002301,-0.8660121
img_00034.png,-2.8e-07,1.5e-06,-0.0,-1.4e-07,7e-08,0.50002223,-0.86601257
img_00035.png,-2.9e-07,1.47e-06,-0.0,9e-08,-1.1e-07,0.50002193,-0.86601275
img_00036.png,-3e-07,1.49e-06,-0.0,-2.7e-07,6e-08,0.50002193,-0.86601275
img_00037.png,-2.7e-07,1.49e-06,-0.0,-7.7e-07,2e-08,0.50002223,-0.86601257
img_00038.png,-2.8e-07,1.49e-06,-0.0,3.1e-07,1.4e-07,0.50002408,-0.8660115
img_00039.png,-2.8e-07,1.48e-06,-0.0,-1.6e-07,2.4e-07,0.50002265,-0.86601233
img_00040.png,-2.9e-07,1.5e-06,-0.0,2e-08,-6.1e-07,0.50002348,-0.8660118
img_00041.png,-2.8e-07,1.48e-06,-0.0,1.8e-07,4.3e-07,0.50002354,-0.8660118
img_00042.png,-2.9e-07,1.5e-06,-0.0,-2.2e-07,-2.8e-07,0.50002223,-0.86601257
img_00043.png,-2.8e-07,1.47e-06,-0.0,3.7e-07,2e-07,0.50002253,-0.86601239
img_00044.png,-2.9e-07,1.46e-06,-0.0,1.1e-07,-1.2e-07,0.50002348,-0.86601186
img_00045.png,-5e-07,1.61e-06,-0.0,0.0,-1e-08,0.50057536,-0.86569297
img_00046.png,-1.18e-06,1.97e-06,0.0,-3e-08,1.4e-07,0.50267553,-0.86447513
img_00047.png,-1.83e-06,2.31e-06,0.01,-9e-08,4.6e-07,0.50312442,-0.864214
img_00048.png,-2.49e-06,2.66e-06,0.02,-1.7e-07,1e-06,0.50320232,-0.86416864
img_00051.png,-4.74e-06,3.8e-06,0.04,-5.1e-07,3.9e-06,0.50267434,-0.86447585
img_00052.png,-5.65e-06,4.25e-06,0.05,-6.7e-07,5.3e-06,0.50250262,-0.86457568
img_00053.png,-6.75e-06,4.78e-06,0.06,-8.6e-07,7.08e-06,0.50232267,-0.86468023
img_00054.png,-7.98e-06,5.36e-06,0.06,-1.08e-06,9.07e-06,0.50215536,-0.86477745
img_00056.png,-1.151e-05,6.98e-06,0.08,-1.7e-06,1.464e-05,0.5017978,-0.86498493
img_00057.png,-1.376e-05,8.01e-06,0.09,-2.11e-06,1.81e-05,0.5016284,-0.86508322
img_00058.png,-1.667e-05,9.32e-06,0.09,-2.62e-06,2.246e-05,0.50155902,-0.86512345
img_00059.png,-2.012e-05,1.086e-05,0.1,-3.22e-06,2.755e-05,0.50161958,-0.86508834
img_00060.png,-2.452e-05,1.282e-05,0.11,-3.97e-06,3.393e-05,0.50168234,-0.86505193
img_00061.png,-2.975e-05,1.514e-05,0.12,-4.86e-06,4.138e-05,0.50174284,-0.86501682
img_00062.png,-3.642e-05,1.807e-05,0.13,-5.99e-06,5.088e-05,0.5018056,-0.8649804
img_00063.png,-4.464e-05,2.169e-05,0.13,-7.38e-06,6.263e-05,0.50186837,-0.86494404
img_00064.png,-5.438e-05,2.595e-05,0.14,-9.03e-06,7.644e-05,0.50192893,-0.86490887
